DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Clade sizes
COLOR	#555555
WIDTH	80
MARGIN	2
SHOW_VALUES	1
LEGEND_TITLE	Clade sizes
LEGEND_SHAPES	1
LEGEND_COLORS	#555555
LEGEND_LABELS	# mOTUs Reps. per Order
DATA
Leptospirales	18
SZUA-6	30
Izemoplasmatales	16
Nautiliales	10
Campylobacterales	217
UBA11872	28
Caldilineales	41
Anaerolineales	57
Aggregatilineales	79
Tepidiformales	25
UBA2979	34
Bin125	60
SAR202	162
UBA1151	101
UBA3495	181
UBA2963	32
UBA2985	15
UBA1127	13
UBA6926	12
GIF9	12
Dehalococcoidales	25
Chloroflexales	12
Paenibacillales	14
Bacillales	13
Bacillales_D	21
Bacillales_B	15
Lactobacillales	25
Bacillales_A	17
Tissierellales	13
Peptostreptococcales	19
Lachnospirales	10
Streptomycetales	28
Streptosporangiales	11
Mycobacteriales	71
Actinomycetales	134
Propionibacteriales	27
Nanopelagicales	34
S36-B12	42
Acidimicrobiales	347
Actinomarinales	27
UBA5794	69
Deinococcales	26
PCC-6307	196
Cyanobacteriales	123
Phormidesmiales	30
Synergistales	12
Petrotogales	13
Thermotogales	19
Chlamydiales	31
Kiritimatiellales	10
Opitutales	173
Limisphaerales	71
Verrucomicrobiales	142
WGA-4E	148
GN15	13
UBA8231	38
UBA2968	35
JAAXHH01	29
RBG-13-44-9	10
Calditrichales	20
Balneolales	46
Rhodothermales	73
Chitinophagales	189
NS11-12g	49
Flavobacteriales	1692
Sphingobacteriales	15
Bacteroidales	168
Cytophagales_B	18
Cytophagales	179
Chlorobiales	25
Ignavibacteriales	35
Marinisomatales	135
SCGC-AAA003-L08	49
LZORAL124-64-63	15
Gemmatimonadales	18
Palauibacterales	33
Longimicrobiales	132
Cloacimonadales	16
Planctomycetales	82
Pirellulales	240
SM23-33	20
Sedimentisphaerales	32
UBA1845	13
Phycisphaerales	129
UBA2386	15
UBA1135	76
UBA1146	14
Aminicenantales	16
Multivoradales	49
RPQK01	11
Bryobacterales	49
Versatilivoradales	17
Marinacidobacterales	31
Vicinamibacterales	110
UBA1280	12
Bin65	10
UBA8366	35
Kiloniellales	53
UBA6615	19
Acetobacterales	13
MPNO01	46
UBA2966	12
GCA-2731375	16
Bin95	27
UBA7887	13
SP197	10
JAAXGF01	11
UBA828	28
Rhodospirillales_A	115
Puniceispirillales	113
Thalassobaculales	22
Sphingomonadales	288
Rhodobacterales	743
Caulobacterales	296
Parvibaculales	69
TMED25	14
MED-G09	23
Rhizobiales	244
UBA7985	21
Rhodospirillales	10
Micavibrionales	89
Pelagibacterales	330
HIMB59	61
TMED127	27
TMED109	17
Puniceispirillales_A	17
Rickettsiales	46
Mariprofundales	13
GCA-002705445	47
PS1	44
Pseudomonadales_A	45
SAR86	184
Nevskiales	53
Rariloculales	26
UBA11654	14
Foliamicales	22
GCA-2729495	12
Woeseiales	77
Steroidobacterales	11
Xanthomonadales	70
Porisulfidales	27
Arenicellales	102
Acidiferrobacterales	13
Chromatiales	61
HK1	37
Ga0077536	19
UBA4486	70
Beggiatoales	12
UBA6429	14
Nitrosococcales	47
Methylococcales	49
Thiomicrospirales	32
Granulosicoccales	33
SZUA-229	15
GCA-001735895	22
Thiotrichales	18
UBA4575	29
Ectothiorhodospirales	15
Legionellales	22
Coxiellales	13
Francisellales	18
Enterobacterales	477
Pseudomonadales	1217
Burkholderiales	409
Hydrogenothermales	16
Aquificales	19
Thermosulfidibacterales	10
Desulfurellales	13
Deferribacterales	10
UBA1144	16
RKRQ01	30
Nitrospirales	42
Thermodesulfovibrionales	18
Nitrospinales	24
UBA8248	16
Desulfobacterales	90
Desulfatiglandales	24
Desulfovibrionales	40
Desulfobulbales	53
Dissulfuribacterales	16
Thermodesulfobacteriales	16
Desulfuromonadales	22
Oligoflexales	26
Bacteriovoracales	63
Bdellovibrionales	21
SAR324	22
Bin18	17
UBA9968	18
UBA796	30
UBA9615	13
UBA7976	11
Polyangiales	21
UBA9160	42
