DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	% prevalence
COLOR	#555555
FIELD_LABELS	mtgBCD	gbcAB	Cbl
FIELD_COLORS	#440154	#21918C	#FDE725
COLOR_MIN	#440154
COLOR_MID	#21918C
COLOR_MAX	#FDE725
LEGEND_TITLE	% prevalence
DATA
Leptospirales	0	11.1111	33.3333
SZUA-6	16.6667	20	0
Izemoplasmatales	0	0	0
Nautiliales	0	0	0
Campylobacterales	0	0	9.21659
UBA11872	3.57143	17.8571	0
Caldilineales	12.1951	53.6585	0
Anaerolineales	59.6491	5.26316	1.75439
Aggregatilineales	0	2.53165	1.26582
Tepidiformales	0	4	0
UBA2979	2.94118	0	0
Bin125	1.66667	0	0
SAR202	0.617284	6.79012	32.0988
UBA1151	0.990099	5.94059	0
UBA3495	0	49.7238	75.1381
UBA2963	0	18.75	0
UBA2985	0	0	0
UBA1127	0	0	0
UBA6926	0	25	0
GIF9	75	0	0
Dehalococcoidales	48	0	0
Chloroflexales	0	0	66.6667
Paenibacillales	0	0	35.7143
Bacillales	0	0	46.1538
Bacillales_D	0	0	0
Bacillales_B	0	0	0
Lactobacillales	0	0	0
Bacillales_A	0	0	23.5294
Tissierellales	15.3846	0	30.7692
Peptostreptococcales	15.7895	0	52.6316
Lachnospirales	0	0	40
Streptomycetales	0	28.5714	85.7143
Streptosporangiales	9.09091	72.7273	81.8182
Mycobacteriales	1.40845	45.0704	69.0141
Actinomycetales	2.98507	13.4328	3.73134
Propionibacteriales	7.40741	18.5185	74.0741
Nanopelagicales	14.7059	0	0
S36-B12	54.7619	2.38095	0
Acidimicrobiales	68.8761	14.4092	0.864553
Actinomarinales	0	0	0
UBA5794	62.3188	34.7826	0
Deinococcales	0	3.84615	11.5385
PCC-6307	0	9.18367	86.7347
Cyanobacteriales	0	25.2033	95.122
Phormidesmiales	0	63.3333	86.6667
Synergistales	16.6667	0	41.6667
Petrotogales	0	0	0
Thermotogales	0	0	5.26316
Chlamydiales	0	0	0
Kiritimatiellales	10	0	0
Opitutales	0	1.15607	0
Limisphaerales	5.6338	11.2676	0
Verrucomicrobiales	0	4.92958	0
WGA-4E	0.675676	5.40541	0
GN15	61.5385	0	0
UBA8231	5.26316	7.89474	0
UBA2968	5.71429	0	0
JAAXHH01	0	100	0
RBG-13-44-9	0	10	0
Calditrichales	5	0	0
Balneolales	0	45.6522	0
Rhodothermales	0	13.6986	0
Chitinophagales	0	39.1534	0
NS11-12g	0	2.04082	0
Flavobacteriales	0.0591017	23.0496	1.95035
Sphingobacteriales	0	6.66667	0
Bacteroidales	10.7143	1.19048	8.33333
Cytophagales_B	0	100	0
Cytophagales	1.11732	29.0503	3.35196
Chlorobiales	0	0	60
Ignavibacteriales	2.85714	2.85714	0
Marinisomatales	10.3704	54.8148	0
SCGC-AAA003-L08	10.2041	53.0612	0
LZORAL124-64-63	20	0	0
Gemmatimonadales	22.2222	0	0
Palauibacterales	3.0303	0	0
Longimicrobiales	1.51515	0	0
Cloacimonadales	25	0	0
Planctomycetales	0	29.2683	0
Pirellulales	2.08333	39.1667	1.25
SM23-33	30	0	25
Sedimentisphaerales	46.875	3.125	3.125
UBA1845	15.3846	23.0769	0
Phycisphaerales	2.32558	6.20155	0
UBA2386	6.66667	20	0
UBA1135	3.94737	28.9474	0
UBA1146	0	14.2857	0
Aminicenantales	100	0	0
Multivoradales	8.16327	73.4694	0
RPQK01	0	45.4545	0
Bryobacterales	2.04082	20.4082	0
Versatilivoradales	0	17.6471	0
Marinacidobacterales	3.22581	80.6452	0
Vicinamibacterales	0.909091	20	0
UBA1280	0	0	0
Bin65	90	90	100
UBA8366	31.4286	65.7143	85.7143
Kiloniellales	86.7925	88.6792	73.5849
UBA6615	0	10.5263	78.9474
Acetobacterales	0	0	23.0769
MPNO01	2.17391	91.3043	65.2174
UBA2966	41.6667	66.6667	33.3333
GCA-2731375	56.25	93.75	81.25
Bin95	0	92.5926	77.7778
UBA7887	0	38.4615	38.4615
SP197	100	30	90
JAAXGF01	63.6364	63.6364	72.7273
