order	phylum	class	n_genomes	mttB-cbp-metH'	gbcAB	Cob_syn_75_perc
o__Flavobacteriales	p__Bacteroidota	c__Bacteroidia	1692	0.0591016548463357	23.04964539007092	1.950354609929078
o__Pseudomonadales	p__Pseudomonadota	c__Gammaproteobacteria	1217	18.159408381265408	49.63023829087921	13.557929334428923
o__Rhodobacterales	p__Pseudomonadota	c__Alphaproteobacteria	743	92.32839838492598	71.46702557200538	81.15746971736203
o__Enterobacterales	p__Pseudomonadota	c__Gammaproteobacteria	477	0.41928721174004197	19.07756813417191	8.176100628930817
o__Burkholderiales	p__Pseudomonadota	c__Gammaproteobacteria	409	1.466992665036675	81.90709046454768	11.7359413202934
o__Acidimicrobiales	p__Actinomycetota	c__Acidimicrobiia	347	68.87608069164266	14.409221902017292	0.8645533141210375
o__Pelagibacterales	p__Pseudomonadota	c__Alphaproteobacteria	330	0	0.6060606060606061	0
o__Caulobacterales	p__Pseudomonadota	c__Alphaproteobacteria	296	6.418918918918918	41.891891891891895	0
o__Sphingomonadales	p__Pseudomonadota	c__Alphaproteobacteria	288	1.7361111111111112	49.30555555555556	6.944444444444445
o__Rhizobiales	p__Pseudomonadota	c__Alphaproteobacteria	244	50.81967213114754	45.90163934426229	85.24590163934425
o__Pirellulales	p__Planctomycetota	c__Planctomycetia	240	2.083333333333333	39.166666666666664	1.25
o__Campylobacterales	p__Campylobacterota	c__Campylobacteria	217	0	0	9.216589861751153
o__PCC-6307	p__Cyanobacteriota	c__Cyanobacteriia	196	0	9.183673469387756	86.73469387755102
o__Chitinophagales	p__Bacteroidota	c__Bacteroidia	189	0	39.15343915343915	0
o__SAR86	p__Pseudomonadota	c__Gammaproteobacteria	184	0	45.108695652173914	0
o__UBA3495	p__Chloroflexota	c__Dehalococcoidia	181	0	49.72375690607735	75.13812154696133
o__Cytophagales	p__Bacteroidota	c__Bacteroidia	179	1.1173184357541899	29.05027932960894	3.35195530726257
o__Opitutales	p__Verrucomicrobiota	c__Verrucomicrobiae	173	0	1.1560693641618496	0
o__Bacteroidales	p__Bacteroidota	c__Bacteroidia	168	10.714285714285714	1.1904761904761905	8.333333333333332
o__SAR202	p__Chloroflexota	c__Dehalococcoidia	162	0.6172839506172839	6.790123456790123	32.098765432098766
o__WGA-4E	p__Poribacteria	c__WGA-4E	148	0.6756756756756757	5.405405405405405	0
o__Verrucomicrobiales	p__Verrucomicrobiota	c__Verrucomicrobiae	142	0	4.929577464788732	0
o__Marinisomatales	p__Marinisomatota	c__Marinisomatia	135	10.37037037037037	54.81481481481482	0
o__Actinomycetales	p__Actinomycetota	c__Actinomycetes	134	2.9850746268656714	13.432835820895523	3.731343283582089
o__Longimicrobiales	p__Gemmatimonadota	c__Gemmatimonadetes	132	1.5151515151515151	0	0
o__Phycisphaerales	p__Planctomycetota	c__Phycisphaerae	129	2.3255813953488373	6.2015503875969	0
o__Cyanobacteriales	p__Cyanobacteriota	c__Cyanobacteriia	123	0	25.203252032520325	95.1219512195122
o__Rhodospirillales_A	p__Pseudomonadota	c__Alphaproteobacteria	115	24.347826086956523	29.565217391304348	86.08695652173914
o__Puniceispirillales	p__Pseudomonadota	c__Alphaproteobacteria	113	92.03539823008849	70.79646017699115	70.79646017699115
o__Vicinamibacterales	p__Acidobacteriota	c__Vicinamibacteria	110	0.9090909090909091	20	0
o__Arenicellales	p__Pseudomonadota	c__Gammaproteobacteria	102	82.35294117647058	86.27450980392157	6.862745098039216
o__UBA1151	p__Chloroflexota	c__Dehalococcoidia	101	0.9900990099009901	5.9405940594059405	0
o__Desulfobacterales	p__Desulfobacterota	c__Desulfobacteria	90	74.44444444444444	0	54.44444444444444
o__Micavibrionales	p__Pseudomonadota	c__Alphaproteobacteria	89	0	1.1235955056179776	0
o__Planctomycetales	p__Planctomycetota	c__Planctomycetia	82	0	29.268292682926827	0
o__Aggregatilineales	p__Chloroflexota	c__Anaerolineae	79	0	2.5316455696202533	1.2658227848101267
o__Woeseiales	p__Pseudomonadota	c__Gammaproteobacteria	77	41.55844155844156	57.14285714285714	0
o__UBA1135	p__Planctomycetota	c__UBA1135	76	3.9473684210526314	28.947368421052634	0
o__Rhodothermales	p__Bacteroidota	c__Rhodothermia	73	0	13.698630136986301	0
o__Limisphaerales	p__Verrucomicrobiota	c__Verrucomicrobiae	71	5.633802816901409	11.267605633802818	0
o__Mycobacteriales	p__Actinomycetota	c__Actinomycetes	71	1.4084507042253522	45.07042253521127	69.01408450704226
o__UBA4486	p__Pseudomonadota	c__Gammaproteobacteria	70	24.285714285714285	20	0
o__Xanthomonadales	p__Pseudomonadota	c__Gammaproteobacteria	70	11.428571428571429	50	0
o__Parvibaculales	p__Pseudomonadota	c__Alphaproteobacteria	69	0	21.73913043478261	0
o__UBA5794	p__Actinomycetota	c__Acidimicrobiia	69	62.31884057971014	34.78260869565217	0
o__Bacteriovoracales	p__Bdellovibrionota	c__Bacteriovoracia	63	0	9.523809523809524	0
o__Chromatiales	p__Pseudomonadota	c__Gammaproteobacteria	61	0	0	21.311475409836063
o__HIMB59	p__Pseudomonadota	c__Alphaproteobacteria	61	0	1.639344262295082	0
o__Bin125	p__Chloroflexota	c__Dehalococcoidia	60	1.6666666666666667	0	0
o__Anaerolineales	p__Chloroflexota	c__Anaerolineae	57	59.64912280701754	5.263157894736842	1.7543859649122806
o__Desulfobulbales	p__Desulfobacterota	c__Desulfobulbia	53	16.9811320754717	0	37.735849056603776
o__Kiloniellales	p__Pseudomonadota	c__Alphaproteobacteria	53	86.79245283018868	88.67924528301887	73.58490566037736
o__Nevskiales	p__Pseudomonadota	c__Gammaproteobacteria	53	0	37.735849056603776	7.547169811320755
o__Bryobacterales	p__Acidobacteriota	c__Terriglobia	49	2.0408163265306123	20.408163265306122	0
o__Methylococcales	p__Pseudomonadota	c__Gammaproteobacteria	49	0	22.448979591836736	12.244897959183673
o__Multivoradales	p__Acidobacteriota	c__Thermoanaerobaculia	49	8.16326530612245	73.46938775510205	0
o__NS11-12g	p__Bacteroidota	c__Bacteroidia	49	0	2.0408163265306123	0
o__SCGC-AAA003-L08	p__Marinisomatota	c__Marinisomatia	49	10.204081632653061	53.06122448979592	0
o__GCA-002705445	p__Pseudomonadota	c__Gammaproteobacteria	47	0	2.127659574468085	0
o__Nitrosococcales	p__Pseudomonadota	c__Gammaproteobacteria	47	0	2.127659574468085	0
o__Balneolales	p__Bacteroidota	c__Rhodothermia	46	0	45.65217391304348	0
o__MPNO01	p__Pseudomonadota	c__Alphaproteobacteria	46	2.1739130434782608	91.30434782608695	65.21739130434783
o__Rickettsiales	p__Pseudomonadota	c__Alphaproteobacteria	46	0	0	0
o__Pseudomonadales_A	p__Pseudomonadota	c__Gammaproteobacteria	45	0	11.11111111111111	0
o__PS1	p__Pseudomonadota	c__Gammaproteobacteria	44	40.909090909090914	43.18181818181818	0
o__Nitrospirales	p__Nitrospirota	c__Nitrospiria	42	0	11.904761904761903	4.761904761904762
o__S36-B12	p__Actinomycetota	c__Actinomycetes	42	54.761904761904766	2.380952380952381	0
o__UBA9160	p__Myxococcota_A	c__UBA9160	42	26.190476190476193	83.33333333333334	0
o__Caldilineales	p__Chloroflexota	c__Anaerolineae	41	12.195121951219512	53.65853658536586	0
o__Desulfovibrionales	p__Desulfobacterota	c__Desulfovibrionia	40	0	0	55.00000000000001
o__UBA8231	p__Latescibacterota	c__UBA2968	38	5.263157894736842	7.894736842105263	0
o__HK1	p__Pseudomonadota	c__Gammaproteobacteria	37	89.1891891891892	70.27027027027027	59.45945945945946
o__Ignavibacteriales	p__Bacteroidota	c__Ignavibacteria	35	2.857142857142857	2.857142857142857	0
o__UBA2968	p__Latescibacterota	c__UBA2968	35	5.714285714285714	0	0
o__UBA8366	p__Pseudomonadota	c__Alphaproteobacteria	35	31.428571428571427	65.71428571428571	85.71428571428571
o__Nanopelagicales	p__Actinomycetota	c__Actinomycetes	34	14.705882352941178	0	0
o__UBA2979	p__Chloroflexota	c__Dehalococcoidia	34	2.941176470588235	0	0
o__Granulosicoccales	p__Pseudomonadota	c__Gammaproteobacteria	33	90.9090909090909	81.81818181818183	6.0606060606060606
o__Palauibacterales	p__Gemmatimonadota	c__Gemmatimonadetes	33	3.0303030303030303	0	0
o__Sedimentisphaerales	p__Planctomycetota	c__Phycisphaerae	32	46.875	3.125	3.125
o__Thiomicrospirales	p__Pseudomonadota	c__Gammaproteobacteria	32	0	0	0
