GENOME	metH'	cbp	bmt	mttB	gbcAB	Cob_syn_75_perc	mttB-cbp-metH'	domain	phylum	class	order	family	genus	species
ACIN21-1_SAMN05421699_MAG_00000017	1	1	1	0	0	1	0	Bacteria	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	UBA9611	UBA9611 sp002746355
ACIN21-1_SAMN05422104_MAG_00000003	1	1	1	0	0	0	0	Bacteria	Myxococcota	Bradymonadia	Bradymonadales	Bradymonadaceae	CATLTV01	CATLTV01 sp950059285
ACIN21-1_SAMN05421706_MAG_00000012	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Pelagibacter sp012963775
ACIN21-1_SAMN05422122_MAG_00000017	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	Croceimicrobium	Croceimicrobium sp950073045
ACIN21-1_SAMN05422121_MAG_00000040	1	0	0	0	0	0	0	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	GCA-2712005	GCA-2712005 sp950054155
ACIN21-1_SAMN05422149_MAG_00000024	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-6294	Oleibacter	Oleibacter sp950066645
ACIN21-1_SAMN05422189_MAG_00000010	1	1	0	0	1	0	0	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium poriferae
ACIN21-1_SAMN05422183_MAG_00000017	1	1	1	0	0	0	0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	GCA-002701945	GCA-002701945 sp913062595
ACIN21-1_SAMN05422166_MAG_00000002	1	1	1	0	1	0	0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	Marinisomataceae	Marinisoma	Marinisoma sp012963075
ACIN21-1_SAMN05422226_MAG_00000036	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	TMED27	TMED27 sp002167715
AGAR17-1_SAMN04939377_MAG_00000005	1	1	1	0	1	1	0	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Prochloraceae	Prochloron	Prochloron sp014323965
AGAR17-1_SAMN04939375_MAG_00000035	1	0	1	0	0	1	0	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Hormoscilla	Unknown Hormoscilla
AGAR17-1_SAMN04939363_MAG_00000012	1	0	1	0	0	1	0	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Hormoscilla	Hormoscilla sp014324065
AGAR17-1_SAMN04939363_MAG_00000006	1	1	0	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JACOMT01	JACOMT01 sp014623385
AGAR17-1_SAMN04939377_MAG_00000015	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAOXSC01	Unknown JAOXSC01
